,Date,Position,Track Name,Artist,Featured Artists
0,2017-01-01,1,Fill Me In - AFTR:HRS Mixcut,"Loud Luxury, Ryan Shepherd",
1,2017-01-01,2,Freedom! '90,George Michael,
2,2017-01-01,3,You,Manwolves,
3,2017-01-01,4,Faith - Remastered,George Michael,
4,2017-01-01,5,Father Figure - Remastered,George Michael,
5,2017-01-01,6,One More Try - Remastered,George Michael,
6,2017-01-01,7,Careless Whisper,George Michael,
7,2017-01-01,8,"Mia & Sebastian’s Theme - From ""La La Land"" Soundtrack",Justin Hurwitz,
8,2017-01-01,9,Another Day Of Sun,La La Land Cast,
9,2017-01-01,10,Are You Sure? (feat. Ty Dolla $ign),"Kris Kross Amsterdam, Conor Maynard",Ty Dolla $ign
10,2017-01-01,11,Panther Like a Panther (Miracle Mix) (feat. Trina),Run The Jewels,Trina
11,2017-01-01,12,Kissing a Fool - Remastered,George Michael,
12,2017-01-01,13,"I'm Still Standing - From ""Sing"" Original Motion Picture Soundtrack",Taron Egerton,
13,2017-01-01,14,Turn Me Down,Pellican Child,
14,2017-01-01,15,I Need My Girl,Gnarly Gibbs,
15,2017-01-01,16,Audition (The Fools Who Dream),Emma Stone,
16,2017-01-01,18,Fades Away,Gavin Haley,
17,2017-01-01,19,Pretty,Yevin Francisco,
18,2017-01-01,20,Lights Out (Too Drunk) [feat. Hayla],DJ Katch,
19,2017-01-01,21,"OH.MY.GOSH - From ""Sing"" Original Motion Picture Soundtrack",Bunnies,
20,2017-01-01,22,I Knew You Were Waiting (For Me),"George Michael, Aretha Franklin",
21,2017-01-01,23,Last Night in Los Feliz,Niia,
22,2017-01-01,24,Shelter,Vandelux,
23,2017-01-01,25,HOT DRUM,JOYRYDE,
24,2017-01-01,26,Praying for Time,George Michael,
25,2017-01-01,27,Satisfaction,Bay Rays,
26,2017-01-01,28,Everything She Wants,Wham!,
27,2017-01-01,29,Stay With Me,"CHANYEOL, Punch",
28,2017-01-01,30,"City Of Stars - From ""La La Land"" Soundtrack","Ryan Gosling, Emma Stone",
29,2017-01-01,31,I Want Your Sex - Pts. 1 & 2 Remastered,George Michael,
30,2017-01-01,32,Someone In The Crowd,"Emma Stone, Callie Hernandez, Sonoya Mizuno, Jessica Rothe",
31,2017-01-01,33,Down (feat. Joi),Run The Jewels,Joi
32,2017-01-01,34,Hey Kids (Bumaye) (feat. Danny Brown),Run The Jewels,Danny Brown
33,2017-01-01,35,Legend Has It,Run The Jewels,
34,2017-01-01,36,Jesus to a Child,George Michael,
35,2017-01-01,37,Bell's Harmonic,Alan Gogoll,
36,2017-01-01,38,Epilogue,Justin Hurwitz,
37,2017-01-01,39,Somebody to Love,"George Michael, Queen",
38,2017-01-01,40,Living Single,"Big Sean, Chance the Rapper, Jeremih",
39,2017-01-01,41,A Report to the Shareholders / Kill Your Masters,Run The Jewels,
40,2017-01-01,42,Equal Powers,"Violents, Monica Martin",
41,2017-01-01,43,Don't Let The Sun Go Down On Me,Elton John,
42,2017-01-01,44,It's Gotta Be You,Isaiah Firebrace,
43,2017-01-01,45,Nuclear Fusion,King Gizzard & The Lizard Wizard,
44,2017-01-01,46,I Can't Make You Love Me,George Michael,
45,2017-01-01,47,Princess Leia's Theme,"John Williams, London Symphony Orchestra",
46,2017-01-01,48,"Fastlove, Pt. 1",George Michael,
47,2017-01-01,49,"The Way I Feel Inside - From ""Sing"" Original Motion Picture Soundtrack",Taron Egerton,
48,2017-01-01,50,Mi Destino,"TÂCHES, INGA",
49,2017-01-02,25,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""","ZAYN, Taylor Swift",
50,2017-01-02,27,Bad and Boujee (feat. Lil Uzi Vert),Migos,Lil Uzi Vert
51,2017-01-02,38,iSpy,"KYLE, Lil Yachty",
52,2017-01-02,40,"Set It All Free - From ""Sing"" Original Motion Picture Soundtrack",Scarlett Johansson,
53,2017-01-02,42,I Hate Myself for Loving You,Halestorm,
54,2017-01-02,44,Throw Myself A Party,"Cashmere Cat, Starrah, 2 Chainz, Tory Lanez",
55,2017-01-02,46,Lady (feat. Pitbull),Austin Mahone,Pitbull
56,2017-01-02,48,Moves,Big Sean,
57,2017-01-02,49,Talk to Me,Run The Jewels,
58,2017-01-03,2,Losing Sleep,Vorsa,
59,2017-01-03,7,2 AM (Prod. DNTST & Berg),Emma Sameth,
60,2017-01-03,16,Mausoleum,Seryn,
61,2017-01-03,22,I Beat My Meat,Thanks Ugly God,
62,2017-01-03,29,Romantic - NOTD Remix,Stanaj,
63,2017-01-03,35,City Of Stars,Ryan Gosling,
64,2017-01-03,39,Parallel Lines (feat. Phantogram) - Drunken Masters Remix,A-Trak,Phantogram
65,2017-01-03,40,Stay Gold,Run The Jewels,
66,2017-01-03,42,Better With You,Austin Mahone,
67,2017-01-03,43,Bombay and Lemonade,"Taylor Gang, Wiz Khalifa, Chevy Woods, Juicy J",
68,2017-01-03,46,FXXK IT,BIGBANG,
69,2017-01-03,47,Follow Me,Beauvois,
70,2017-01-03,48,St. Sebastian,Sam Patch,
71,2017-01-03,50,Dance on the Mountain - Alternate Mix,Amber Maya,
72,2017-01-04,10,Oh NaNa (Hidden. HUR YOUNG JI),KARD,
73,2017-01-04,18,Rooting For You,London Grammar,
